"","algorithm","iterations","swarm_size","design_pts","problem","obj_value","time"
"288","PSO",50,20,5,"6",-55.0001155366937,0.613486766815186
"289","PSO",50,50,3,"1",-1.12646424316222,0.58173131942749
"290","PSO",50,50,3,"2",-7.59394338506632,0.57055139541626
"291","PSO",50,50,3,"3",6.55336821137888,0.927581787109375
"292","PSO",50,50,3,"4",-8.3507136598759,0.684780120849609
"293","PSO",50,50,3,"5",-9.70393355333132,0.656071424484253
"294","PSO",50,50,3,"6",-75.8134667692497,1.03763461112976
"295","PSO",50,50,4,"1",-1.12906659087681,0.745296478271484
"296","PSO",50,50,4,"2",-7.52528248730492,0.758267879486084
"297","PSO",50,50,4,"3",34.0139112059301,0.843840837478638
"298","PSO",50,50,4,"4",-8.07970467452592,0.827805042266846
"299","PSO",50,50,4,"5",-3.55543514741757,0.803544044494629
"300","PSO",50,50,4,"6",-50.5119976960603,0.949901342391968
"301","PSO",50,50,5,"1",-1.12996571616822,0.95382022857666
"302","PSO",50,50,5,"2",-7.66731019183089,0.897670745849609
"303","PSO",50,50,5,"3",33.9642842239827,1.08154106140137
"304","PSO",50,50,5,"4",-8.16299441588027,0.950708389282227
"305","PSO",50,50,5,"5",-9.05174319110885,0.902195930480957
"306","PSO",50,50,5,"6",-54.9313236080563,1.23237323760986
"307","PSO",50,100,3,"1",-1.126123524376,0.970148801803589
"308","PSO",50,100,3,"2",-7.63110612958943,1.00353527069092
"309","PSO",50,100,3,"3",6.586298148922,1.59097790718079
"310","PSO",50,100,3,"4",-8.63244898461114,1.09105277061462
"311","PSO",50,100,3,"5",-9.03548319523269,1.0757782459259
"312","PSO",50,100,3,"6",-75.3159874764747,1.74786329269409
"313","PSO",50,100,4,"1",-1.12869836111532,1.21065020561218
"314","PSO",50,100,4,"2",-7.66398229856255,1.27898025512695
"315","PSO",50,100,4,"3",34.0207912964346,1.54740405082703
"316","PSO",50,100,4,"4",-5.75963669185729,1.33520650863647
"317","PSO",50,100,4,"5",-7.87494935966094,1.42273926734924
"318","PSO",50,100,4,"6",-50.5513206826089,1.72738695144653
"319","PSO",50,100,5,"1",-1.12604404450344,1.51654648780823
"320","PSO",50,100,5,"2",-7.63263728224967,1.55861139297485
"321","PSO",50,100,5,"3",34.0074205038499,1.84179258346558
"322","PSO",50,100,5,"4",-6.58446631403147,1.63603258132935
"323","PSO",50,100,5,"5",-3.83853641868521,1.62770223617554
"324","PSO",50,100,5,"6",-50.5094802553912,2.02547264099121
"325","PSO",100,20,3,"1",-1.12680009339648,0.476370096206665
"326","PSO",100,20,3,"2",-7.5793261671074,0.484892129898071
"327","PSO",100,20,3,"3",5.14028580160621,0.817786931991577
"328","PSO",100,20,3,"4",-8.83028676583904,0.545441150665283
"329","PSO",100,20,3,"5",-4.21558611175313,0.572949647903442
"330","PSO",100,20,3,"6",-74.9002451874201,0.848661184310913
"331","PSO",100,20,4,"1",-1.12797454095294,0.691771745681763
"332","PSO",100,20,4,"2",-7.66368930624257,0.612868547439575
"333","PSO",100,20,4,"3",34.0158797540114,0.699179172515869
"334","PSO",100,20,4,"4",-8.46197929064763,0.67290735244751
"335","PSO",100,20,4,"5",-9.01260533566006,0.677448034286499
"336","PSO",100,20,4,"6",-50.5118882379781,0.825523853302002
"337","PSO",100,20,5,"1",-1.12612630686941,0.757203102111816
"338","PSO",100,20,5,"2",-7.63287010161815,0.762484312057495
"339","PSO",100,20,5,"3",34.02314983145,0.856703996658325
"340","PSO",100,20,5,"4",-10.4656482767086,0.855318069458008
"341","PSO",100,20,5,"5",-8.32217835504841,0.819733381271362
"342","PSO",100,20,5,"6",-50.4952072133575,0.984775543212891
"343","PSO",100,50,3,"1",-1.12606024103736,0.930857419967651
"344","PSO",100,50,3,"2",-7.66238157628749,0.972447395324707
"345","PSO",100,50,3,"3",6.57640184105663,1.76630854606628
"346","PSO",100,50,3,"4",-6.47965773908352,1.10260486602783
"347","PSO",100,50,3,"5",-3.53797049199211,1.10958862304688
"348","PSO",100,50,3,"6",-75.3585617079363,1.75258660316467
"349","PSO",100,50,4,"1",-1.12619890797136,1.23482537269592
"350","PSO",100,50,4,"2",-7.63091441157788,1.31320428848267
"351","PSO",100,50,4,"3",34.0233895003004,1.49071168899536
"352","PSO",100,50,4,"4",-7.91546839119722,1.3567521572113
"353","PSO",100,50,4,"5",-3.57977124368412,1.49169898033142
"354","PSO",100,50,4,"6",-50.4895643252287,1.76704001426697
"355","PSO",100,50,5,"1",-1.12620211384409,1.50190472602844
"356","PSO",100,50,5,"2",-7.66288215378857,1.59684634208679
"357","PSO",100,50,5,"3",34.0231885969135,1.84823155403137
"358","PSO",100,50,5,"4",-8.23211003751838,1.7300808429718
"359","PSO",100,50,5,"5",-3.55105235254574,1.86201095581055
"360","PSO",100,50,5,"6",-50.4914295673196,2.08584070205688
"361","PSO",100,100,3,"1",-1.12600843834208,1.80079317092896
"362","PSO",100,100,3,"2",-7.57893319708514,1.81518054008484
"363","PSO",100,100,3,"3",5.86605181154867,3.07545757293701
"364","PSO",100,100,3,"4",-6.67355988420478,1.78640866279602
"365","PSO",100,100,3,"5",-3.53294960907536,2.02465915679932
"366","PSO",100,100,3,"6",-74.902733102151,3.15322685241699
"367","PSO",100,100,4,"1",-1.12611558240183,2.26949191093445
"368","PSO",100,100,4,"2",-7.63021635688967,2.36123251914978
"369","PSO",100,100,4,"3",34.0245454650605,2.74563217163086
"370","PSO",100,100,4,"4",-6.40918920341059,2.41179895401001
"371","PSO",100,100,4,"5",-3.52922562208129,2.76509761810303
"372","PSO",100,100,4,"6",-50.4876901146434,3.03258943557739
"373","PSO",100,100,5,"1",-1.12598169271529,2.8559250831604
"374","PSO",100,100,5,"2",-7.51091630599799,3.00696420669556
"375","PSO",100,100,5,"3",34.0247824620796,3.48235440254211
"376","PSO",100,100,5,"4",-7.33675456904596,3.01932835578918
"377","PSO",100,100,5,"5",-3.52872337153249,3.36891317367554
"378","PSO",100,100,5,"6",-50.4864907288123,3.78345799446106
"379","PSO",200,20,3,"1",-1.12597456164256,0.783952474594116
"380","PSO",200,20,3,"2",-7.6624187399892,0.767681837081909
"381","PSO",200,20,3,"3",6.61367038803875,1.36393570899963
"382","PSO",200,20,3,"4",-10.0927046448209,0.818280458450317
"383","PSO",200,20,3,"5",-3.52809415610231,0.876982688903809
"384","PSO",200,20,3,"6",-75.2090565942862,1.54862856864929
"385","PSO",200,20,4,"1",-1.12650605430245,0.985640525817871
"386","PSO",200,20,4,"2",-7.63055971329314,1.02568292617798
"387","PSO",200,20,4,"3",34.0236061568726,1.25890111923218
"388","PSO",200,20,4,"4",-10.6818263577881,1.13310313224792
"389","PSO",200,20,4,"5",-3.71497846628776,1.24657773971558
"390","PSO",200,20,4,"6",-50.4866986912637,1.29700088500977
"391","PSO",200,20,5,"1",-1.12609149217876,1.29859519004822
"392","PSO",200,20,5,"2",-7.51217146677348,1.32524013519287
"393","PSO",200,20,5,"3",34.0245990811037,1.49638509750366
"394","PSO",200,20,5,"4",-Inf,0.4006028175354
"395","PSO",200,20,5,"5",-3.55462200548976,1.52298903465271
"396","PSO",200,20,5,"6",-50.487040927812,1.68905258178711
"397","PSO",200,50,3,"1",-1.12593083094042,1.68833661079407
"398","PSO",200,50,3,"2",-7.57861129492285,1.70992398262024
"399","PSO",200,50,3,"3",6.22946202246862,3.08325719833374
"400","PSO",200,50,3,"4",-9.43892182833335,1.68268823623657
